"","X","F1","F2","F3","F4","F5","F6"
"187",187,11,19,13,12,15,15
"188",188,12,16,13,9,16,9
"189",189,13,15,13,12,19,12
"190",190,11,14,21,10,18,11
"191",191,15,12,14,7,11,8
"192",192,16,17,11,15,12,8
"193",193,15,17,14,14,16,11
"194",194,20,16,18,10,17,13
"195",195,16,25,21,14,20,12
"196",196,14,22,14,10,23,7
"197",197,12,16,12,11,18,9
"198",198,13,25,15,16,19,11
"199",199,14,18,15,10,21,9
"200",200,15,20,15,10,19,16
"201",201,17,20,16,12,23,11
"202",202,18,23,16,10,15,12
"203",203,9,12,12,8,14,8
"204",204,11,15,6,11,20,16
"205",205,9,22,20,12,17,12
"206",206,14,24,14,14,17,14
"207",207,10,13,24,15,20,8
"208",208,17,20,12,12,14,11
"209",209,11,20,12,13,18,14
"210",210,17,18,14,10,20,11
"211",211,18,21,19,9,26,13
"212",212,16,26,18,14,16,11
"213",213,8,15,17,15,14,5
"214",214,16,27,23,15,18,15
"215",215,16,23,16,13,21,9
"216",216,16,23,19,12,20,14
"217",217,15,21,22,12,16,12
"218",218,9,16,11,7,14,15
"219",219,16,24,13,13,13,9
"220",220,9,19,13,8,22,12
"221",221,17,15,12,8,13,9
"222",222,8,12,11,11,13,9
"223",223,13,21,18,10,16,12
"224",224,9,14,12,10,11,11
"225",225,16,27,17,12,18,13
"226",226,12,21,14,10,22,9
"227",227,15,18,14,13,18,10
"228",228,22,15,17,11,20,10
"229",229,11,18,12,12,13,11
"230",230,10,16,13,8,15,10
"231",231,8,14,17,8,19,8
"232",232,8,13,12,8,14,6
"233",233,16,23,14,12,16,8
"234",234,18,22,22,14,20,11
"235",235,11,25,13,13,19,15
"236",236,21,26,15,15,17,18
"237",237,9,18,12,13,13,11
"238",238,13,17,17,13,21,13
"239",239,16,24,12,10,18,12
"240",240,8,12,12,9,15,9
"241",241,15,21,19,10,24,12
"242",242,16,24,13,14,25,13
"243",243,23,24,15,15,23,13
"244",244,8,12,13,7,20,8
"245",245,17,18,14,13,12,7
"246",246,19,20,13,9,22,12
"247",247,11,22,14,12,17,10
"248",248,21,24,17,12,22,14
"249",249,15,19,13,14,15,9
"250",250,19,24,15,12,25,15
"251",251,11,16,16,9,20,11
"252",252,16,26,21,16,15,12
"253",253,12,22,14,9,18,7
"254",254,11,16,12,6,18,12
"255",255,12,16,12,10,16,10
"256",256,17,24,16,16,18,11
"257",257,18,19,23,13,22,11
"258",258,20,23,18,12,22,15
"259",259,16,21,23,8,21,12
"260",260,16,22,14,12,14,8
"261",261,17,24,12,11,20,9
"262",262,18,25,16,7,15,11
"263",263,10,22,16,11,17,9
"264",264,15,19,20,9,15,13
