Participant,F1,F2,F3,F4,F5,F6
228,26,57,19,19,20,16
229,37,54,24,18,27,17
230,38,56,23,18,19,16
231,40,58,19,18,23,16
232,40,59,24,18,26,14
233,32,49,22,16,28,16
234,30,50,14,20,26,17
235,37,47,23,17,23,15
236,27,46,21,15,29,18
237,39,54,24,19,23,17
238,35,55,19,21,27,21
239,32,48,24,16,26,16
240,40,60,24,21,31,17
241,33,51,17,18,30,16
242,32,48,23,20,31,17
243,25,42,21,19,25,17
244,40,60,23,19,18,16
245,31,54,22,21,22,15
246,29,52,23,13,30,16
247,37,50,22,18,27,16
248,27,48,19,18,28,18
249,33,53,23,20,25,17
250,29,48,21,18,27,17
251,37,50,20,21,26,19
252,32,46,15,22,21,16
253,36,50,22,17,30,15
254,37,56,24,18,28,16
255,36,56,24,16,24,16
256,31,48,20,18,24,15
257,30,53,13,21,26,19
258,28,49,18,18,26,19
259,32,51,13,18,19,14
260,32,50,22,18,22,14
261,31,48,24,17,28,11
262,30,47,20,17,21,15
263,38,50,20,17,19,15
264,33,53,16,17,19,17
