"","id","name","isclosed","review_count","categories","rating","latitude","longitude","price","address1","city","zip"
"119","jIHOQUtXU929wVGTyD6t8Q","Brazilian Munchies",FALSE,1,"list(alias = c(""foodtrucks"", ""brazilian""), title = c(""Food Trucks"", ""Brazilian""))",4,40.9145899,-77.7756,NA,"222 N Ridge St","Bellefonte","16823"
"120","q83ISb2A4Llx5DVQ4tnWLQ","CC Peppers",FALSE,39,"list(alias = c(""hotdogs"", ""sandwiches"", ""cheesesteaks""), title = c(""Fast Food"", ""Sandwiches"", ""Cheesesteaks""))",3.5,40.8081564,-77.8959007,"$","1625 N Atherton St","State College","16803"
"121","vTq6gFAfjMeGvFkoyzGQNA","Uncle Chen's",FALSE,78,"list(alias = c(""chinese"", ""hotdogs"", ""bubbletea""), title = c(""Chinese"", ""Fast Food"", ""Bubble Tea""))",2.5,40.79757,-77.85511,"$","430 E Calder Way","State College","16801"
"122","Tx245E5tmMsIOw5pK7ZVLQ","Jersey Mike's Subs",FALSE,30,"list(alias = c(""sandwiches"", ""hotdogs"", ""delis""), title = c(""Sandwiches"", ""Fast Food"", ""Delis""))",4,40.7937858721277,-77.8609080099961,"$","128 South Allen St","State College","16801"
"123","ZQN7pUrUo8MnDGWLxd7LyQ","Pump Station Cafe",FALSE,55,"list(alias = c(""sandwiches"", ""coffee""), title = c(""Sandwiches"", ""Coffee & Tea""))",3.5,40.7815523250256,-77.79965715,"$","103 E Boal Ave","Boalsburg","16827"
"124","Cfahwi6qI3W-ziD7WrMeGw","Lepapillon At Toftrees Resort & Conference Center",FALSE,1,"list(alias = c(""hotels"", ""restaurants"", ""golf""), title = c(""Hotels"", ""Restaurants"", ""Golf""))",5,40.8244462,-77.9002875,NA,"1 Country Club Ln","State College","16803"
"125","kjSYVYOQchVnn9C_zaqj7A","Yummy Cafe",FALSE,34,"list(alias = ""szechuan"", title = ""Szechuan"")",2.5,40.79661,-77.85749,"$","320 E Calder Way","State College","16801"
"126","vbT2RZaCghK9J8SrBzqenA","Home D Pizzeria",FALSE,155,"list(alias = c(""pizza"", ""sportsbars"", ""italian""), title = c(""Pizza"", ""Sports Bars"", ""Italian""))",2.5,40.78463,-77.83288,"$$","1820 S Atherton St","State College","16801"
"127","_zNWd92J0sqi5jJysREh9w","Jersey Mike's Subs",FALSE,37,"list(alias = c(""delis"", ""hotdogs"", ""sandwiches""), title = c(""Delis"", ""Fast Food"", ""Sandwiches""))",4.5,40.8097890716008,-77.9067000526864,"$","2009 N Atherton St","State College","16803"
"128","K0TM2xBB85mRQ73oY9HGNA","Cracker Barrel Old Country Store",FALSE,34,"list(alias = c(""tradamerican"", ""southern"", ""breakfast_brunch""), title = c(""American (Traditional)"", ""Southern"", ""Breakfast & Brunch""))",3,40.8162443906698,-77.9005877394911,"$$","215 Colonnade Blvd","State College","16803"
"129","_-SIxz0eps6WvgkXs_CakA","Angelo's Pizzaria",FALSE,12,"list(alias = c(""pizza"", ""salad"", ""sandwiches""), title = c(""Pizza"", ""Salad"", ""Sandwiches""))",4.5,40.7765926405164,-77.7844208171282,"$$","603 Boal Ave","Boalsburg","16827"
"130","VLylUzbiplPyZsT6AHt2Aw","Inferno Brick Oven & Bar",FALSE,100,"list(alias = c(""italian"", ""pizza"", ""bars""), title = c(""Italian"", ""Pizza"", ""Bars""))",2,40.79738,-77.85736,"$$","340 E College Ave","State College","16801"
"131","AKDoPQ2FkTeH432nCEXIcQ","The Clover",FALSE,1,"list(alias = ""irish"", title = ""Irish"")",4,40.7935842,-77.86013,"$$","113 E Beaver Ave","State College","16801"
"132","IfCgLrjasxmPyRoARBazQQ","McLanahan's Downtown Market",FALSE,16,"list(alias = c(""grocery"", ""delis"", ""juicebars""), title = c(""Grocery"", ""Delis"", ""Juice Bars & Smoothies""))",3.5,40.793923120743,-77.861115558831,"$","116 S Allen St","State College","16801"
"133","Ohk933ZdS6vi32LAbLviAw","Beulah's Bar-B-Que",FALSE,5,"list(alias = ""bbq"", title = ""Barbeque"")",3,40.79764,-77.85678,"$$","114 S Garner St","State College","16801"
"134","g505B5veLXL-3mANTIMrBw","Chipotle Mexican Grill",FALSE,60,"list(alias = c(""mexican"", ""hotdogs""), title = c(""Mexican"", ""Fast Food""))",3,40.796805,-77.857069,"$","116 Heister St","State College","16801"
"135","V8hfm3VQ_TmInYEaB5NW-g","D P Dough",FALSE,84,"list(alias = c(""pizza"", ""italian"", ""hotdogs""), title = c(""Pizza"", ""Italian"", ""Fast Food""))",3,40.7972245342073,-77.8557520959339,"$","401 E Beaver Ave","State College","16801"
"136","FSXusYIXcYQNgAwCOlf4Xg","East European Market",FALSE,3,"list(alias = ""modern_european"", title = ""Modern European"")",4,40.80942,-77.91085,"$$","2110 N Atherton St","State College","16803"
"137","2ta1mUS1urzFB8usa9YBUQ","Outback Steakhouse",FALSE,51,"list(alias = ""steak"", title = ""Steakhouses"")",2.5,40.81597,-77.89836,"$$","1905 Waddle Rd","State College","16803"
"138","yGXVhf6346pnmTFyKF6KTg","McAlister's Deli",FALSE,1,"list(alias = c(""salad"", ""sandwiches"", ""delis""), title = c(""Salad"", ""Sandwiches"", ""Delis""))",4,40.7972200004283,-77.8611649989561,NA,"28 HUB-Robeson Ctr","University Park","16801"
"139","SXjZjItx4sUL-efwGcfB-A","IHOP",FALSE,65,"list(alias = c(""breakfast_brunch"", ""tradamerican"", ""burgers""), title = c(""Breakfast & Brunch"", ""American (Traditional)"", ""Burgers""))",2.5,40.785657,-77.834786,"$","1661 S Atherton St","State College","16801"
"140","ETJP0Z1xQ4fdrRv6hUsk4A","Panera Bread",FALSE,25,"list(alias = c(""salad"", ""sandwiches"", ""soup""), title = c(""Salad"", ""Sandwiches"", ""Soup""))",3,40.8081798114821,-77.8938261419535,"$$","1613 N Atherton St","State College","16803"
"141","fCFO5T_YmEZU9RmAVREbXQ","Dosa Express",FALSE,13,"list(alias = ""indpak"", title = ""Indian"")",2.5,40.7959,-77.858,NA,"128 Locust Ln","State College","16801"
